post_id,image_url,caption,label,misinformation_type,named_entities,categories,posted_date,language,article_url,article_title
TC_facebook-spreading-misinformation-free-health-checks-spreading-aids,https://techpana.prixacdn.net/media/albums/fake-news-techpana-news_E0dWBBw0Hf.jpg.760x430_q100_crop.jpg,घर-घरमा निःशुल्क स्वास्थ्य जाँच गर्न आउनेले एड्स सारिदिने भन्ने भ्रामक सूचना,1,Fabricated,Facebook,Politics,01/11/2024,ne,https://techpana.com/2024/147213/facebook-spreading-misinformation-free-health-checks-spreading-aids,घर-घरमा निःशुल्क स्वास्थ्य जाँच गर्न आउनेले एड्स सारिदिने भन्दै फेसबुकमा भ्रामक सूचना
TC_facebook-spreading-misinformation-free-health-checks-spreading-aids,https://techpana.prixacdn.net/media/albums/fake-news-techpana-news_E0dWBBw0Hf.jpg.760x430_q100_crop.jpg,कुनै वैज्ञानिक आधार बिना मनगठित दावी।,0,Pristine,Facebook,Politics,01/11/2024,ne,https://techpana.com/2024/147213/facebook-spreading-misinformation-free-health-checks-spreading-aids,घर-घरमा निःशुल्क स्वास्थ्य जाँच गर्न आउनेले एड्स सारिदिने भन्दै फेसबुकमा भ्रामक सूचना
TC_techpana-fact-check-trump-did-not-respond-to-balen,https://techpana.prixacdn.net/media/albums/trump-false-news-nepal-techpana-news_zgVN52Fejx.jpg.760x430_q100_crop.jpg,बलेन शाहले ट्रम्पलाई फेसबुकमा ट्याग गरे तर ट्रम्पले कुनै प्रतिक्रिया दिएनन्,1,Fabricated,"Donald Trump, Balendra Shah, Kathmandu",Politics,22/02/2025,ne,https://techpana.com/2025/149671/techpana-fact-check-trump-did-not-respond-to-balen,"टेकपाना फ्याक्ट चेकः नझुक्किनुहोस्, अमेरिकी राष्ट्रपति ट्रम्पले बालेनलाई जवाफ दिएका छैनन्"
TC_techpana-fact-check-trump-did-not-respond-to-balen,https://techpana.prixacdn.net/media/albums/trump-false-news-nepal-techpana-news_zgVN52Fejx.jpg.760x430_q100_crop.jpg,ट्रम्पले बालेनलाई कुनै प्रतिक्रिया दिएनन्। दाबी गलत छ।,0,Pristine,"Donald Trump, Balendra Shah, Kathmandu",Politics,22/02/2025,ne,https://techpana.com/2025/149671/techpana-fact-check-trump-did-not-respond-to-balen,"टेकपाना फ्याक्ट चेकः नझुक्किनुहोस्, अमेरिकी राष्ट्रपति ट्रम्पले बालेनलाई जवाफ दिएका छैनन्"
TC_techpana-factcheck-false-claim-about-sumina-kc-article-against-hindu-religion,https://techpana.prixacdn.net/media/albums/naya-patrika-sunina-kc-fact-check-techpana-news_a3SVS7tVea.jpg.760x430_q100_crop.jpg,सुमिना केसीले नयाँ पत्रिकामा ‘हिन्दू देवी दुर्गा वेश्या हुन्’ लेख लेखेकी छन् ।,1,Fabricated,"Sumina KC, Naya Patrika",Politics,23/02/2025,ne,https://techpana.com/2025/149686/techpana-factcheck-false-claim-about-sumina-kc-article-against-hindu-religion,टेकपाना फ्याक्टचेकः सुमिना केसीले नयाँ पत्रिकामा ‘हिन्दु देवी दुर्गा वेश्या हुन्’ शीर्षकमा लेख लेखेको दाबी झुटो
TC_techpana-factcheck-false-claim-about-sumina-kc-article-against-hindu-religion,https://techpana.prixacdn.net/media/albums/naya-patrika-sunina-kc-fact-check-techpana-news_a3SVS7tVea.jpg.760x430_q100_crop.jpg,यस्तो लेख लेखिएको छैन। स्क्रिनसट बनाइएको छ।,0,Pristine,"Sumina KC, Naya Patrika",Politics,23/02/2025,ne,https://techpana.com/2025/149686/techpana-factcheck-false-claim-about-sumina-kc-article-against-hindu-religion,टेकपाना फ्याक्टचेकः सुमिना केसीले नयाँ पत्रिकामा ‘हिन्दु देवी दुर्गा वेश्या हुन्’ शीर्षकमा लेख लेखेको दाबी झुटो
TC_techpana-factcheck-no-law-punishing-men-for-not-marrying-twice,https://techpana.prixacdn.net/media/albums/fake-news_9tg458611g.jpg.760x430_q100_crop.jpg,नेपालमा दोस्रो विवाह नगर्ने पुरुषलाई सजाय दिने कानुन छ,1,Fabricated,Nepal Government,Politics,25/02/2025,ne,https://techpana.com/2025/149720/techpana-factcheck-no-law-punishing-men-for-not-marrying-twice,टेकपाना फ्याक्टचेक: भाइरल समाचार जस्तो पुरुषले २ विवाह नगरे कारबाही हुने नियम नेपालमा मात्र नभई विश्वमा कतै छैन
TC_techpana-factcheck-no-law-punishing-men-for-not-marrying-twice,https://techpana.prixacdn.net/media/albums/fake-news_9tg458611g.jpg.760x430_q100_crop.jpg,त्यस्तो कानुन छैन । नेपालको कानुनले बहुविवाहलाई निषेध गरेको छ ।,0,Pristine,Nepal Government,Politics,25/02/2025,ne,https://techpana.com/2025/149720/techpana-factcheck-no-law-punishing-men-for-not-marrying-twice,टेकपाना फ्याक्टचेक: भाइरल समाचार जस्तो पुरुषले २ विवाह नगरे कारबाही हुने नियम नेपालमा मात्र नभई विश्वमा कतै छैन
TC_techpana-fact-check-viral-video-ukraine-president-punching-us-president-misleading,https://techpana.prixacdn.net/media/albums/donald-trump-techpana_dSy5GaxLL6.jpg.760x430_q100_crop.jpg,जेलेन्स्कीले अमेरिकी राष्ट्रपति ट्रम्पलाई मुक्का मारेको भिडियो,1,Fabricated,"Zelensky, Trump, Ukraine, USA",Politics,02/03/2025,ne,https://techpana.com/2025/149761/techpana-fact-check-viral-video-ukraine-president-punching-us-president-misleading,टेकपाना फ्याक्टचेकः युक्रेनी राष्ट्रपतिले अमेरिकी राष्ट्रपतिलाई कुटेको देखिने भाइरल भिडिओ भ्रामक
TC_techpana-fact-check-viral-video-ukraine-president-punching-us-president-misleading,https://techpana.prixacdn.net/media/albums/donald-trump-techpana_dSy5GaxLL6.jpg.760x430_q100_crop.jpg,भिडियो AI द्वारा निर्मित छ। कुनै शारीरिक झगडा भएको छैन।,0,Pristine,"Zelensky, Trump, Ukraine, USA",Politics,02/03/2025,ne,https://techpana.com/2025/149761/techpana-fact-check-viral-video-ukraine-president-punching-us-president-misleading,टेकपाना फ्याक्टचेकः युक्रेनी राष्ट्रपतिले अमेरिकी राष्ट्रपतिलाई कुटेको देखिने भाइरल भिडिओ भ्रामक
