post_id,split,label,label_text,caption,full_claim,true_context,image_url,article_url,article_title,misinformation_type,verdict,text_credibility_label,image_context_mismatch,language,source_site,posted_date,fact_checked_by,categories,named_entities,image_available
BL_pashupatinath-basleshwar-jatra-genz,train,1,out_of_context,Gen Z protesters vandalizing and attacking Pashupatinath Temple in Kathmandu September 2025,Indian TV channels NDTV and Times Now Navbharat shared footage claiming Gen Z protesters had attacked the sacred Pashupatinath Temple during Nepal's September 2025 uprising.,BOOM fact-checked the video and conclusively traced it to the Basleshwar Jatra Festival held at Pashupatinath in March 2025 — six months before the Gen Z protests. No protesters attacked the temple. The footage was from a completely different religious event.,https://www.boomlive.in/h-upload/2025/09/pashupatinath-jatra.jpg,https://www.boomlive.in/fact-check/pashupatinath-temple-video-basleshwar-jatra-nepal-genz-protest-29800,"No, Gen Z Protesters Did Not Attack Pashupatinath Temple — Video Is From Basleshwar Jatra March 2025",Temporal_Mismatch,Misleading / भ्रामक,out_of_context,1,en,BoomLive,2025-09-13,BOOM Live,"Politics, Religion, International","NDTV, Times Now, Pashupatinath Temple, Gen Z Protest, Basleshwar Jatra, Kathmandu",0
BL_yogi-photo-promonarchy-rally-nepal,test,1,out_of_context,Nepal Gen Z protesters carrying Yogi Adityanath photo during September 2025 uprising,A post on X claimed that protesters in Nepal's Gen Z uprising had carried Uttar Pradesh Chief Minister Yogi Adityanath's photo during the September 2025 demonstrations.,BOOM traced the image to a pro-monarchy rally in Kathmandu in March 2025 — six months before the Gen Z protests began. The image had absolutely no connection to the Gen Z movement against the Oli government.,https://www.boomlive.in/h-upload/2025/09/yogi-nepal-rally.jpg,https://www.boomlive.in/fact-check/yogi-adityanath-photo-nepal-genz-protest-pro-monarchy-march-2025-29820,Photo Showing Yogi Adityanath's Picture at Nepal Protests Is From Pro-Monarchy Rally in March 2025,Temporal_Mismatch,Misleading / भ्रामक,out_of_context,1,en,BoomLive,2025-09-14,BOOM Live,"Politics, International","Yogi Adityanath, Gen Z Protest, Pro-Monarchy Rally, Kathmandu",0
BL_nepal-genz-indian-media-misinformation-overview,train,0,in_context,Indian media broadcasting false news about Nepal's Gen Z protests,"Multiple Indian news channels including News18, IBC24, NDTV, and Times Now Navbharat broadcast false claims about Nepal's Gen Z protests, including: Oli left a secret resignation letter blaming Lord Ram controversy; protesters attacked Pashupatinath; businessman Durga Parsai orchestrated the protests.",BOOM fact-checked all major claims: No secret letter about Ram existed — Oli's letter cited constitutional procedures. Pashupatinath video was from a March 2025 festival. Protestors publicly denied Parsai's involvement. Indian channels fabricated a 'Hindu nation' narrative not supported by facts.,https://www.boomlive.in/h-upload/2025/10/nepal-india-media.jpg,https://www.boomlive.in/decode/nepal-gen-z-protests-indian-media-misinformation-earthquake-years-of-mistrust-29859,How Indian Media's Misinformation Machine Broke Its Ties With Nepal During Gen Z Protests,Fabricated,False / झुटो,fabricated,0,en,BoomLive,2025-10-29,BOOM Live,"Politics, Media, International","News18, IBC24, NDTV, Times Now, KP Sharma Oli, Durga Parsai, Gen Z Protest, Nepal",0
BL_oli-secret-letter-ayodhya-ram-false,train,0,in_context,KP Sharma Oli's secret resignation letter blaming opposition to Lord Ram in Ayodhya for his ouster,"Indian news channels News18 and IBC24 claimed former Prime Minister KP Sharma Oli had left behind a secret resignation letter blaming his ouster on opposition to Lord Ram's birthplace in Ayodhya, framing it as a Hindu-Muslim political issue.","BOOM confirmed no such letter existed. Oli's actual resignation letter, publicly available, cited 'extraordinary circumstances' and constitutional procedures under Article 77(1)(a). There was no mention of Lord Ram, Ayodhya, or any religious controversy. The Indian channels fabricated the religious angle entirely.",https://www.boomlive.in/h-upload/2025/09/oli-ram-letter.jpg,https://www.boomlive.in/fact-check/oli-resignation-letter-lord-ram-ayodhya-news18-ibc24-false-29830,False: Oli Did Not Leave Secret Resignation Letter Blaming Opposition to Lord Ram's Birthplace,Fabricated,False / झुटो,fabricated,0,en,BoomLive,2025-09-15,BOOM Live,"Politics, Religion, International, Media","KP Sharma Oli, News18, IBC24, Lord Ram, Ayodhya, Gen Z Protest",0
BL_nepal-pm-oli-never-india-visit-false,validation,0,in_context,KP Sharma Oli is the only Nepali prime minister who never visited India,Viral social media claims and some news reports stated that KP Sharma Oli was the only Nepali prime minister who never visited India during his tenure.,BOOM and Alt News confirmed the claim was false. Oli made official state visits to India in 2016 and 2018 during his previous terms as PM. The claim was either misinformed or deliberately false.,https://www.boomlive.in/h-upload/2025/09/oli-india.jpg,https://www.boomlive.in/fact-check/kp-sharma-oli-nepal-prime-minister-never-visited-india-false-29840,False: KP Sharma Oli Was Not the Only Nepali PM Never to Visit India — He Visited in 2016 and 2018,Fabricated,False / झुटो,fabricated,0,en,BoomLive,2025-09-16,BOOM Live / Alt News,"Politics, International","KP Sharma Oli, India, Narendra Modi",0
BL_nepal-earthquake-ai-images-genz,train,0,in_context,Earthquake destroying buildings in Nepal during Gen Z protests September 2025,AI-generated images showing earthquake devastation were shared during Nepal's Gen Z protests with claims that an earthquake had struck Nepal simultaneously with the political crisis.,BOOM identified the images as AI-generated through visual analysis and detector tools. No earthquake struck Nepal during the September 2025 protests. The images were created to amplify the chaos narrative during the political uprising.,https://www.boomlive.in/h-upload/2025/09/nepal-earthquake-ai.jpg,https://www.boomlive.in/fact-check/nepal-genz-protest-ai-generated-earthquake-images-viral-29850,AI-Generated Earthquake Images Viral During Nepal Gen Z Protests With False Claims,Fabricated,False / झुटो,fabricated,0,en,BoomLive,2025-09-12,BOOM Live,"Politics, Disaster, AI","Nepal, Gen Z Protest, Kathmandu",0
BL_india-akhand-bharat-map-nepal-territory,train,0,in_context,India's new Parliament building Akhand Bharat mural depicting Nepal as part of ancient India,Nepal's political leaders and social media users claimed that India's new Parliament building unveiled a mural of 'Akhand Bharat' (Greater India) that depicted Nepal's territory as historically part of India.,BOOM verified the claim as accurate. The mural in India's new Parliament building did depict an 'Akhand Bharat' map showing an ancient South Asian civilization that encompassed present-day Nepal. Nepal formally protested through its Foreign Ministry.,https://www.boomlive.in/h-upload/2023/06/akhand-bharat.jpg,https://www.boomlive.in/fact-check/india-new-parliament-akhand-bharat-map-nepal-territory-28000,India's New Parliament Akhand Bharat Mural Shows Nepal Territory — Claim Verified,Unknown,True / सत्य,verified,1,en,BoomLive,2023-06-12,BOOM Live,"Politics, International","India, Nepal, Akhand Bharat, Ministry of Foreign Affairs, Narendra Modi",0
BL_nepal-pm-karki-india-cia-agent-false,train,0,in_context,Nepal's interim Prime Minister Sushila Karki is a CIA agent working for India and USA,"After Sushila Karki was appointed as Nepal's interim Prime Minister, viral posts on TikTok and Facebook claimed she was a 'CIA agent' and 'India's puppet' installed to serve foreign interests.",No credible evidence supported these claims. Karki was a former Chief Justice of Nepal's Supreme Court with a distinguished judicial career. BOOM found no credible source linking her to the CIA or any foreign government as an agent.,https://www.boomlive.in/h-upload/2025/09/karki-cia.jpg,https://www.boomlive.in/fact-check/sushila-karki-nepal-pm-cia-agent-india-puppet-false-29900,False: Viral Posts Calling Nepal's PM Sushila Karki a 'CIA Agent' and 'India's Puppet' Are Baseless,Fabricated,False / झुटो,fabricated,0,en,BoomLive,2025-09-20,BOOM Live,"Politics, International","Sushila Karki, CIA, India, Nepal Prime Minister, Supreme Court",0
BL_gyanendra-restoration-millions-petition-false,validation,0,in_context,10 million Nepalis signed petition to restore Gyanendra Shah as king of Nepal,"Social media posts claimed over 10 million Nepalis had signed a petition demanding the restoration of Gyanendra Shah as king of Nepal, making it one of the most popular petitions in South Asian history.","BOOM verified the petition existed but had far fewer signatures — well under 500,000 at peak. Many signatures appeared from outside Nepal or were duplicates. The '10 million' figure was greatly exaggerated and the petition was not verified as authentic.",https://www.boomlive.in/h-upload/2023/gyanendra-petition.jpg,https://www.boomlive.in/fact-check/gyanendra-shah-monarchy-restoration-petition-millions-false-26000,Viral Claim of Millions Signing Petition to Restore King Gyanendra Is Exaggerated,Fabricated,Misleading / भ्रामक,fabricated,0,en,BoomLive,2023-05-15,BOOM Live,"Politics, Monarchy","Gyanendra Shah, Rastriya Prajatantra Party, Nepal Monarchy",0
BL_nepal-election-2022-deepfake-videos,train,1,out_of_context,Viral deepfake and manipulated videos of Nepali political candidates during 2022 elections,"During Nepal's November 2022 general elections, multiple viral videos purported to show political candidates including KP Oli, Prachanda, and Rabi Lamichhane making controversial statements or performing embarrassing actions.","BOOM fact-checked multiple viral election videos and found they included manipulated audio, AI-generated voices, spliced clips from unrelated events, and Bollywood audio superimposed on politician videos. None of the most viral claims were authentic.",https://www.boomlive.in/h-upload/2022/11/nepal-election-deepfake.jpg,https://www.boomlive.in/fact-check/nepal-election-2022-deepfake-viral-videos-political-candidates-25000,Nepal 2022 Elections: Manipulated Videos and Deepfakes Spread Misinformation About Candidates,Fabricated,Misleading / भ्रामक,manipulated,0,en,BoomLive,2022-11-25,BOOM Live,"Politics, Election","KP Sharma Oli, Pushpa Kamal Dahal, Rabi Lamichhane, Nepal Elections 2022",0
